a=1, b=0, c=1
a=3, b=1, c=2
a=6, b=3, c=3
a=10, b=6, c=4
a=15, b=10, c=5
a=21, b=15, c=6
a=28, b=21, c=7
a=36, b=28, c=8
a=45, b=36, c=9
a=55, b=45, c=10
a=66, b=55, c=11
a=78, b=66, c=12
a=91, b=78, c=13
a=105, b=91, c=14
a=120, b=105, c=15
a=136, b=120, c=16
a=153, b=136, c=17
a=171, b=153, c=18
a=190, b=171, c=19
a=210, b=190, c=20
a=231, b=210, c=21
a=253, b=231, c=22
a=276, b=253, c=23
a=300, b=276, c=24
a=325, b=300, c=25
a=351, b=325, c=26
a=378, b=351, c=27
a=406, b=378, c=28
a=435, b=406, c=29
a=465, b=435, c=30
a=496, b=465, c=31
a=528, b=496, c=32
a=561, b=528, c=33
a=595, b=561, c=34
a=630, b=595, c=35
a=666, b=630, c=36
a=703, b=666, c=37
a=741, b=703, c=38
a=780, b=741, c=39
a=820, b=780, c=40
a=861, b=820, c=41
a=903, b=861, c=42
a=946, b=903, c=43
a=990, b=946, c=44
a=1035, b=990, c=45
a=1081, b=1035, c=46
a=1128, b=1081, c=47
a=1176, b=1128, c=48
a=1225, b=1176, c=49
a=1275, b=1225, c=50
a=1326, b=1275, c=51
a=1378, b=1326, c=52
a=1431, b=1378, c=53
a=1485, b=1431, c=54
a=1540, b=1485, c=55
a=1596, b=1540, c=56
a=1653, b=1596, c=57
a=1711, b=1653, c=58
a=1770, b=1711, c=59
a=1830, b=1770, c=60
a=1891, b=1830, c=61
a=1953, b=1891, c=62
a=2016, b=1953, c=63
a=2080, b=2016, c=64
a=2145, b=2080, c=65
a=2211, b=2145, c=66
a=2278, b=2211, c=67
a=2346, b=2278, c=68
a=2415, b=2346, c=69
a=2485, b=2415, c=70
a=2556, b=2485, c=71
a=2628, b=2556, c=72
a=2701, b=2628, c=73
a=2775, b=2701, c=74
a=2850, b=2775, c=75
a=2926, b=2850, c=76
a=3003, b=2926, c=77
a=3081, b=3003, c=78
a=3160, b=3081, c=79
a=3240, b=3160, c=80
a=3321, b=3240, c=81
a=3403, b=3321, c=82
a=3486, b=3403, c=83
a=3570, b=3486, c=84
a=3655, b=3570, c=85
a=3741, b=3655, c=86
a=3828, b=3741, c=87
a=3916, b=3828, c=88
a=4005, b=3916, c=89
a=4095, b=4005, c=90
a=4186, b=4095, c=91
a=4278, b=4186, c=92
a=4371, b=4278, c=93
a=4465, b=4371, c=94
a=4560, b=4465, c=95
a=4656, b=4560, c=96
a=4753, b=4656, c=97
a=4851, b=4753, c=98
a=4950, b=4851, c=99
a=5050, b=4950, c=100
a=5151, b=5050, c=101
a=5253, b=5151, c=102
a=5356, b=5253, c=103
a=5460, b=5356, c=104
a=5565, b=5460, c=105
a=5671, b=5565, c=106
a=5778, b=5671, c=107
a=5886, b=5778, c=108
a=5995, b=5886, c=109
a=6105, b=5995, c=110
a=6216, b=6105, c=111
a=6328, b=6216, c=112
a=6441, b=6328, c=113
